Author, Title, Description, Reviewer Twitter,Initials, Website
"Bob Stanley", "Yeah Yeah Yeah: The Story of Modern Pop", "As well as being in one of my favourite bands, St. Etienne, Bob Stanley has been a top music journalist for years. In this book he recounts the history of pop music from 1952 onwards; the detail is encyclopaedic, and the stories are eye-opening.", "https://twitter.com/Tim_Burgess" ,(TB),  https://blackwells.co.uk/bookshop/product/Yeah-Yeah-Yeah-by-Bob-Stanley-author/9780571322404
"Dave Haslam", "A Life in 35 Boxes", "After his memoirs, ‘Sonic Youth Slept On My Floor’, Dave has published 3 small format books; this one about the pleasures and perils of vinyl collecting and how Dave survives selling his record collection (all 4500 pieces), and also on Keith Haring and Courtney Love. All fantastically written and full of knowledge and love. ",https://twitter.com/Tim_Burgess, "(TB)", https://www.confingopublishing.uk/product-page/easter-offer-3-for-20-22-50-outside-uk
"Pete Paphides", "Broken Greek", "Pete’s memories of growing up in Birmingham in an immigrant, Greek household, and finding friendship with music is so engaging. He’s barely into his teens by the end of the book. We need more.", https://twitter.com/Tim_Burgess, "(TB)", https://www.foxlanebooks.co.uk/
"Tim Burgess", "One, Two, Another", "After Tim’s revealing and so readable autobiography ‘Telling Stories’ he took us round the world in his ‘Tim Book Two’ about his passion for records, and record shops from Istanbul to San Francisco. ‘One, Two Another’ is the Tim Burgess lyrics collection, interspersed with his stories and memories from writing songs over the last thirty years; a great way to tell a story of a life immersed in music.",https://twitter.com/Mr_Dave_Haslam, (DH),  http://www.claphambooks.com/
"Amy Raphael", "A Seat at the Table", "Interviews with Women on the Frontline of Music’ Amy’s previous work has included interviews with Patti Smith and Courtney Love etc. In this book she talks to some amazing contemporary artists, inc Kate Tempest, Nadine Shah, Christine & the Queens. Important insights on every page.", https://twitter.com/Mr_Dave_Haslam , (DH), https://www.foxlanebooks.co.uk/
"Andrew Loog Oldham", "Stoned", "Britain in the fifties and sixties nailed by a first-rate cheekster. It ends just as he meets the Rolling Stones.",https://twitter.com/rocking_bob, "(BS)", https://www.linghams.co.uk/
"Beastie Boys", "Beastie Boys Book", "The Beastie Boys use the methods finessed on their hugely-loved Grand Royal magazine to tell their own story: a life-affirming blitz of essays and stand-alone anecdotes – mostly by their two surviving members, but also co-travellers on their journey – honour the gonzoid spirit of the Beasties' canon, albeit laced with the humility of two music obsessives who can't quite get over how lucky they got.",https://twitter.com/petepaphides,"(PP)", http://www.ebbandflobookshop.co.uk/
"Chris Heath", "Literally & Vs America", "In 1989 and 1991 Neil Tennant and Chris Lowe allowed Chris Heath to be an ambient presence as they embarked on their first tours. The resulting books are a thrilling portal into the shared interior world of a group that might be even smarter in real life than their music.",https://twitter.com/petepaphides, "(PP)",https://www.roughtrade.com/gb/s?utf8=%E2%9C%93&q=chris+heath
"Chrissie Hynde", "Reckless", "Her depictions of her childhood are concise yet lyrical. She's utterly aware of the person she was and the person she became, and the verve with which she guides you from the former to the latter is the purest of joys. (PP) It's so inspiring to hear the story of someone who achieved so much and did so totally on her own terms.",https://twitter.com/petepaphides,"(PP)",https://www.linghams.co.uk/
"Cosey Fanni Tutti", "Art Sex Music", "Powerful book, and grimly revelatory a lot of it; sets the record straight about her creative history, including her time with COUM & Throbbing Gristle.",https://twitter.com/Tim_Burgess, "(TB)", https://to-be-read.co.uk/
