Name, Address, Website, type
Blackwells, "various locations", https://blackwells.co.uk/bookshop/home,""
Book-ish, "Crickhowell NP8 1BD", http://www.book-ish.co.uk/,""
Clapham Books, "London, SW4 0JA", http://www.claphambooks.com/,""
Cover to Cover, "Swansea, SA3 4BQ",  http://cover-to-cover.co.uk/,""
David’s Bookshop, "Letchworth, SG6 3DE", https://www.davids-bookshops.co.uk/,""
Ebb & Flo Bookshop, "Chorley, PR7 2EJ", http://ebbandflobookshop.co.uk/,""
Edinburgh Bookshop, "Edinburgh EH10 4DH", https://www.edinburghbookshop.com/,""
Forum, "Corbridge, NE45 5AW",  https://www.forumbooksshop.com/,""
Fox Lane Books, "pop-up locations", https://www.foxlanebooks.co.uk/,""
Libreria Bookshop, "London E1 5JP", https://www.libreria-subscribe.com/shop,""
Lingham’s, "Heswall, CH60 7SG", https://www.linghams.co.uk/,""
Newham Bookshop, "London E13 9ER", https://www.newhambooks.co.uk/,""
News From Nowhere, "Liverpool L1 4HY", https://www.newsfromnowhere.org.uk/,""
Read Holmfirth, "Holmfirth, HD9 3JH", https://to-be-read.co.uk/,""
Rough Trade, "various locations", https://www.roughtrade.com/,""
West End Lane Books, "London NW6 1QS", https://welbooks.co.uk/,""
Bopcap Books, "Manchester, M19 3NP", https://bopcapbooks.co.uk/,2
Sounds Of The Universe, "London W1F 0DA", https://soundsoftheuniverse.com/browse/c-books,2
Skoob, "London, WC1N 1AE", http://www.skoob.com/buy/index.html,2
Story Smith Books,"49 North Street, Bristol, BS3 1EN", https://storysmithbooks.com/,""
Brick Lane Bookshop, "166 Brick Lane, London, E1 6RU", https://www.bricklanebookshop.org/,""
Hack & Harris, "Suffolk, CO10 8NY", https://harrisharris.co.uk/lock-down-literature/,""
High Street Books, "New Mills, High Peak, SK22 4AL", https://highstreetbooksandrecords.com/,""
Plackitt & Booth, "Lytham,FY8 5ER", http://www.plackittandbooth.co.uk/,""
City Books,"Hove, BN3 1AF", http://www.city-books.co.uk/,""
Sevenoaks Bookshop, "Sevenoaks, TN13 1XJ", https://www.sevenoaksbookshop.co.uk, ""
Five Leaves Bookshop, "Nottingham, NG1 2DH", https://fiveleavesbookshop.co.uk/, ""
Gutter Bookshop, "Dublin, Temple Bar", https://gutterbookshops.com,""
La Biblioteka, "Sheffiled, S3 8LN",https://labiblioteka.co/, ""
Lighthouse, "Edinburgh, EH8 9DB", https://www.lighthousebookshop.com, ""
Drake The Bookshop, "Stockton on Tees, TS18 1SX", http://www.drakethebookshop.co.uk/,""
