NAME,ADDRESS,WEBSITE,TWITTER
Creekside Vinyl,"3 Market Street,Faversham, Kent ME13 7AH",https://creeksidevinyl.co.uk/,https://twitter.com/Creeksidevinyl
Cliffs Margate,"172 Northdown Road Margate, England, CT9 2QN United Kingdom",http://www.cliffsmargate.com,https://twitter.com/cliffsmargate
Ben Oneill,"64 O'Connell Street, Dungarvan, Co. Waterford, Ireland, X35 HF54",http://www.benoneilldungarvan.com/, https://twitter.com/BenONeillRecord
Freebird Records,"15a Wicklow Street Dublin ", https://freebirdrecords.com/,https://twitter.com/FreebirdRecords
Bella Union,"BN1 1AJ, Brighton",https://bellaunion.ochre.store/bella-union-vinyl-shop,https://twitter.com/VinylBella
Spiller Records, "27 The Morgan Arcade, CARDIFF CF10 1AF", http://spillersrecords.com/,https://twitter.com/spillersrecords
Tasty Records,"25 Regent Road WA14 1RX, Altrincham, Greater Manchester, England, United Kingdom",https://tastyrecords.co.uk/,https://twitter.com/tasty_records
World of Echo,"128 columbia road, london, E2 7RG",https://worldofechomusic.com/,https://twitter.com/worldofechoshop
Double Doube Good,"12A Mill St, Stafford ST16 2AJ",https://doubledoublegood.co.uk/, https://twitter.com/DoubleGoodMusic
Music for the Soul ​Records,"52 Flixton Road, Urmston, Manchester, M41 5AB",http://www.davesrarecds.com/,
Tower Records,"7 Dawson St, Dublin 2, Ireland.","https://www.towerrecords.ie/",https://twitter.com/TowerDublin
punk to funk heaven, "", https://punktofunkheaven.co.uk/, https://twitter.com/philpunktofunk
Strand Records, "Unit 15 The Strand, Longton, Stoke-on-Trent, Stoke-on-Trent, ST3 2JF ", https://www.facebook.com/StrandRecordsLongton/,https://twitter.com/StrandRecords
Wired recordds, "81 Mayors Walk, Peterborough, Cambs, PE3 6EX", https://www.wiredrecords.co.uk/, "https://twitter.com/wiredrecordsuk"
Vanishing Point Records, "10 Theatre Yard, Chesterfield, S40 1PF",https://www.vanishingpointrecords.com, https://twitter.com/VPRecordsStore
Spindizzy, "32 Market Arcade, South Great George’s Street,Dublin, Ireland", https://www.spindizzyrecords.com/we-sell/, https://twitter.com/Spindizzyrecord
Music Millenium, "3158 E Burnside,Portland, OR 97214", https://musicmillennium.com/,https://twitter.com/musicmillennium
Sound Records, "Stroud", https://www.discogs.com/seller/SoundRecordsStroud/profile, https://twitter.com/SoundRecordsGL5
586 Records, "Commercial Union House, 39 Pilgrim St, Newcastle upon Tyne, NE1 6QE", https://www.586records.com/,"https://www.instagram.com/586_records/"
Wah Wah Records, "15 Brook Street,Wakefield,WF1 1QW", "https://www.facebook.com/wahwahrecordshop/", https://twitter.com/wahwahrecord
Vinyl Music Madness,"6 Canbury Park Road, Kingston Upon Thames, Surrey, KT2 6JX", https://www.vinylmusicmadness.co.uk/https://twitter.com/VinylMusicMadne
Empire Records,"21 Heritage Close, St Albans,AL3 4EB" , https://www.empirestalbans.com/,https://twitter.com/EmpireStAlbans
Loafers Vinyl, "The Piece Hall, Halifax", "https://www.discogs.com/seller/loafersvinyl/profile", https://twitter.com/loafersvinyl
Mellowtone Records,"Static Gallery, 23 Roscoe Lane, Liverpool, L1 9JD",http://mellowtonerecords.com/, https://twitter.com/MellowtoneRecs
Just Dropped In,"FarGo Village, Far Gosford Street, Coventry, CV1 5ED", https://www.fargovillage.co.uk/tenants/just-dropped-in-records/ ,https://twitter.com/indropped
SK1 Records,"17 Little Underbank,SK1 1LA, Stockport" ,https://en-gb.facebook.com/sk1records/,
Vinyl Head,"Ramsgate Music Hall,13 Turner Street,Ramsgate, Kent,CT11 8NJ",https://www.ramsgatemusichall.com/,https://twitter.com/vinylheadkent
Sound It Out Records,"15A Yarm St, Stockton-on-Tees,TS18 3DR",http://sounditoutrecords.co.uk/,https://twitter.com/_sounditout
Off The Beaten Tracks,"36 Aswell Street, Louth, Lincolnshire",http://www.offthebeatentracks.org/, https://twitter.com/offthebeatentks
"Carnival Records", "83 Church Street, Great Malvern, WR14 2AE",https://www.carnivalmalvern.co.uk,https://twitter.com/carnivalrecords
"Beatin' Rhythm MCR", "Bank House Studios, Warwick Street, Prestwich, Greater Manchester,M25 3HN,United Kingdom","http://www.beatinrhythm.com","https://twitter.com/_BeatinRhythm"
"101 Collectors Records","101 West Street, Farnham, Surrey GU9 7EN","http://www.101collectorsrecords.co.uk/","https://twitter.com/101andyhibberd"
"Action Records","46 Church Street, Preston, Lancs, PR1 3DH","https://www.actionrecords.co.uk/","https://twitter.com/ActionRecords"
